AccountID,AccountName,Industry,Country,City,Employees,AnnualRevenue,AssignedSalesRepID,CreatedDate,Status
ACC00001,Prime Technologies 1,Insurance,Canada,Toronto,1848,11616528,USR0191,2020-02-24,Active
ACC00002,Global Group 2,Retail,Germany,Berlin,264,1461240,USR0113,2021-06-14,Active
ACC00003,Cloud Group 3,Retail,USA,Boston,1648,24138256,USR0134,2023-09-15,Active
ACC00004,Bright Group 4,Manufacturing,Canada,Toronto,1327,14496148,USR0072,2022-10-25,Active
ACC00005,Next Software 5,Education,Canada,Toronto,779,7964496,USR0024,2020-02-01,Active
ACC00006,Dynamic Group 6,Telecom,Canada,Toronto,3783,48365655,USR0191,2020-05-26,Active
ACC00007,Global Consulting 7,Healthcare,Canada,Montreal,2982,40134738,USR0039,2021-02-26,Active
ACC00008,Blue Software 8,Manufacturing,Canada,Toronto,1927,10895258,USR0068,2023-04-06,Active
ACC00009,Bright Corporation 9,Healthcare,India,Bangalore,2930,21775760,USR0134,2021-12-29,Active
ACC00010,Fusion Systems 10,Telecom,UK,Birmingham,2025,13520925,USR0191,2024-03-08,Active
ACC00011,Future Consulting 11,Education,India,Bangalore,478,3705456,USR0068,2019-05-12,Active
ACC00012,Elite Industries 12,Logistics,USA,Chicago,4666,42717230,USR0068,2021-05-20,Active
ACC00013,Elite Networks 13,Automotive,India,Bangalore,1163,9350520,USR0115,2021-12-12,Active
ACC00014,Smart Group 14,Logistics,Germany,Munich,1816,11379056,USR0191,2024-09-18,Active
ACC00015,Global Technologies 15,Telecom,USA,Chicago,1330,14518280,USR0068,2019-09-18,Active
ACC00016,Elite Group 16,Healthcare,Germany,Hamburg,2079,27160056,USR0103,2019-02-17,Active
ACC00017,Infinity Industries 17,Logistics,Canada,Toronto,2424,26962152,USR0191,2020-10-09,Active
ACC00018,Apex Industries 18,Insurance,UK,London,4178,23994254,USR0115,2022-05-07,Active
ACC00019,Fusion Software 19,Software,India,Bangalore,1343,17240091,USR0113,2024-12-12,Active
ACC00020,Fusion Corporation 20,Retail,Germany,Berlin,936,9310392,USR0068,2022-06-13,Active
ACC00021,Blue Software 21,Insurance,UK,London,721,8624602,USR0103,2019-10-11,Active
ACC00022,Next Systems 22,Automotive,Germany,Hamburg,1372,11445224,USR0134,2024-12-01,Active
ACC00023,Smart Software 23,Education,UK,Birmingham,1667,15181369,USR0068,2023-06-23,Active
ACC00024,Bright Consulting 24,Education,Germany,Berlin,2050,15746050,USR0068,2019-09-20,Active
ACC00025,Apex Group 25,Healthcare,UK,London,4840,36822720,USR0191,2019-01-30,Active
ACC00026,Blue Software 26,Retail,USA,New York,2726,14066160,USR0103,2024-10-06,Active
ACC00027,Future Networks 27,Retail,India,Chennai,1103,14730565,USR0103,2024-04-20,Active
ACC00028,Digital Enterprises 28,Education,India,Pune,814,12043944,USR0072,2023-11-01,Active
ACC00029,Smart Enterprises 29,Software,Germany,Hamburg,463,6808878,USR0113,2020-02-08,Active
ACC00030,Elite Corporation 30,Logistics,USA,Chicago,1589,11307324,USR0024,2025-01-05,Active
ACC00031,Next Enterprises 31,Logistics,India,Bangalore,3809,30822428,USR0115,2019-11-05,Active
ACC00032,Infinity Solutions 32,Finance,USA,Boston,140,773920,USR0191,2021-08-26,Active
ACC00033,Smart Networks 33,Telecom,Germany,Berlin,3305,16392800,USR0191,2020-11-05,Active
ACC00034,Apex Enterprises 34,Finance,Canada,Vancouver,2356,25751080,USR0039,2024-06-16,Active
ACC00035,Vision Industries 35,Education,India,Pune,4764,61374612,USR0072,2019-09-07,Active
ACC00036,Blue Technologies 36,Software,UK,Manchester,4139,52569439,USR0134,2020-10-06,Active
ACC00037,Cloud Solutions 37,Telecom,India,Pune,4894,25023022,USR0039,2021-08-21,Active
ACC00038,Prime Group 38,Telecom,India,Chennai,4890,22743390,USR0115,2019-12-02,Active
ACC00039,Rapid Group 39,Retail,UK,Manchester,2156,15837976,USR0191,2022-07-10,Active
ACC00040,Future Enterprises 40,Software,India,Bangalore,3765,34562700,USR0024,2019-10-25,Active
ACC00041,Bright Group 41,Insurance,UK,London,620,7940960,USR0103,2021-05-23,Active
ACC00042,Future Systems 42,Finance,Canada,Toronto,2021,20319134,USR0068,2022-03-13,Active
ACC00043,Bright Consulting 43,Healthcare,Canada,Montreal,4353,17969184,USR0039,2022-05-11,Active
ACC00044,Next Industries 44,Manufacturing,USA,New York,4552,29797392,USR0134,2022-01-20,Active
ACC00045,Fusion Software 45,Manufacturing,Canada,Toronto,2182,26794960,USR0072,2024-06-24,Active
ACC00046,Blue Solutions 46,Finance,Germany,Munich,381,1546098,USR0115,2022-09-28,Active
ACC00047,Future Systems 47,Healthcare,Germany,Hamburg,3523,46464847,USR0191,2019-02-09,Active
