ActivityID,LeadID,OpportunityID,AccountID,UserID,ActivityType,ActivityDate,Status
ACT000001,LEAD046141,,ACC01727,USR0024,Call,2022-08-17,Completed
ACT000002,LEAD005739,,ACC04113,USR0024,Meeting,2024-12-11,Completed
ACT000003,LEAD007985,,ACC01149,USR0039,Email,2022-09-26,Cancelled
ACT000004,LEAD028268,,ACC04445,USR0024,Follow-up,2024-06-18,Completed
ACT000005,LEAD050956,OPP20850,ACC03851,USR0039,Demo,2022-12-05,Completed
ACT000006,LEAD056123,OPP22915,ACC01267,USR0039,Call,2023-03-09,Completed
ACT000007,LEAD033576,OPP13738,ACC02415,USR0068,Follow-up,2023-09-27,Cancelled
ACT000008,LEAD056996,,ACC00188,USR0115,Follow-up,2022-11-30,Completed
ACT000009,LEAD040288,OPP16447,ACC02828,USR0191,Follow-up,2023-03-15,Scheduled
ACT000010,LEAD037833,,ACC01735,USR0113,Demo,2024-11-23,Cancelled
ACT000011,LEAD047697,OPP19524,ACC03381,USR0115,Call,2023-07-22,Completed
ACT000012,LEAD004922,OPP02012,ACC01779,USR0039,Demo,2023-08-04,Scheduled
ACT000013,LEAD010041,OPP04096,ACC00956,USR0068,Email,2022-09-17,Completed
ACT000014,LEAD047137,,ACC00093,USR0024,Meeting,2023-04-24,Completed
ACT000015,LEAD003728,,ACC02001,USR0103,Demo,2024-08-27,Completed
ACT000016,LEAD040249,,ACC03001,USR0115,Meeting,2023-02-12,Cancelled
ACT000017,LEAD051177,,ACC00709,USR0039,Call,2024-04-13,Cancelled
ACT000018,LEAD032181,,ACC01999,USR0115,Follow-up,2022-11-03,Completed
ACT000019,LEAD034942,,ACC04730,USR0103,Demo,2022-12-17,Completed
ACT000020,LEAD043491,OPP17769,ACC02536,USR0134,Meeting,2023-06-09,Cancelled
ACT000021,LEAD006637,,ACC02688,USR0134,Meeting,2022-09-22,Cancelled
ACT000022,LEAD047050,,ACC04737,USR0134,Call,2022-12-06,Completed
ACT000023,LEAD016930,OPP06906,ACC01801,USR0103,Email,2023-04-07,Scheduled
ACT000024,LEAD034359,,ACC00909,USR0191,Email,2024-01-04,Completed
ACT000025,LEAD018247,,ACC01770,USR0072,Meeting,2023-02-11,Scheduled
ACT000026,LEAD041183,,ACC02428,USR0039,Meeting,2023-06-14,Completed
ACT000027,LEAD025286,OPP10310,ACC02296,USR0039,Meeting,2024-05-20,Completed
ACT000028,LEAD050204,,ACC02587,USR0024,Meeting,2023-04-10,Cancelled
ACT000029,LEAD046648,,ACC00502,USR0068,Call,2023-08-23,Cancelled
ACT000030,LEAD041437,OPP16924,ACC02355,USR0134,Email,2023-07-06,Cancelled
ACT000031,LEAD061372,OPP25073,ACC02897,USR0103,Email,2023-03-30,Completed
ACT000032,LEAD008910,OPP03609,ACC03333,USR0068,Demo,2025-03-26,Scheduled
ACT000033,LEAD040063,,ACC03858,USR0072,Follow-up,2023-03-18,Completed
ACT000034,LEAD059480,,ACC03341,USR0103,Meeting,2024-05-19,Completed
ACT000035,LEAD017703,OPP07205,ACC02952,USR0113,Call,2024-02-01,Scheduled
ACT000036,LEAD000405,,ACC02377,USR0024,Meeting,2024-05-28,Completed
ACT000037,LEAD050594,,ACC03006,USR0113,Follow-up,2022-11-22,Cancelled
ACT000038,LEAD060489,,ACC02597,USR0113,Email,2022-10-06,Cancelled
ACT000039,LEAD031576,OPP12924,ACC04244,USR0134,Demo,2022-11-20,Cancelled
ACT000040,LEAD047263,OPP19348,ACC01311,USR0115,Email,2023-02-25,Scheduled
ACT000041,LEAD048913,,ACC03268,USR0024,Email,2024-02-23,Cancelled
ACT000042,LEAD000391,,ACC01822,USR0039,Follow-up,2024-06-08,Scheduled
ACT000043,LEAD019442,OPP07908,ACC00584,USR0134,Follow-up,2024-11-18,Scheduled
ACT000044,LEAD038914,,ACC01013,USR0072,Follow-up,2023-04-17,Scheduled
ACT000045,LEAD036113,,ACC03403,USR0113,Email,2023-06-16,Completed
ACT000046,LEAD017088,,ACC00534,USR0113,Demo,2023-04-29,Completed
ACT000047,LEAD061591,,ACC04942,USR0115,Call,2023-04-14,Completed
ACT000048,LEAD041790,OPP17073,ACC02476,USR0113,Email,2022-09-11,Cancelled
ACT000049,LEAD052977,OPP21695,ACC01288,USR0072,Follow-up,2023-07-21,Completed
ACT000050,LEAD020218,,ACC02939,USR0039,Demo,2023-09-22,Cancelled
ACT000051,LEAD054445,,ACC02046,USR0039,Follow-up,2024-08-31,Scheduled
ACT000052,LEAD003854,,ACC04786,USR0068,Call,2024-12-27,Cancelled
ACT000053,LEAD019309,OPP07841,ACC01787,USR0134,Call,2024-09-22,Cancelled
ACT000054,LEAD041440,,ACC03022,USR0103,Follow-up,2023-08-23,Scheduled
ACT000055,LEAD048169,OPP19709,ACC01741,USR0039,Meeting,2023-08-18,Completed
ACT000056,LEAD033005,,ACC02825,USR0191,Demo,2025-04-14,Completed
ACT000057,LEAD027317,OPP11162,ACC00434,USR0103,Call,2023-10-03,Cancelled
ACT000058,LEAD009584,,ACC02201,USR0191,Meeting,2024-09-16,Cancelled
ACT000059,LEAD012855,OPP05234,ACC02613,USR0024,Email,2023-12-08,Cancelled
ACT000060,LEAD008443,,ACC03669,USR0068,Call,2022-08-04,Cancelled
ACT000061,LEAD008873,,ACC03525,USR0113,Follow-up,2025-02-15,Cancelled
ACT000062,LEAD029533,,ACC04984,USR0072,Email,2022-06-20,Scheduled
ACT000063,LEAD061705,,ACC03009,USR0103,Email,2022-04-14,Cancelled
ACT000064,LEAD033163,,ACC02408,USR0103,Follow-up,2025-05-12,Completed
ACT000065,LEAD009326,OPP03775,ACC03927,USR0113,Meeting,2025-04-20,Scheduled
ACT000066,LEAD005946,OPP02428,ACC00112,USR0103,Call,2024-11-20,Scheduled
ACT000067,LEAD041391,,ACC00128,USR0039,Meeting,2023-06-17,Completed
ACT000068,LEAD001015,OPP00415,ACC03729,USR0191,Email,2024-11-21,Cancelled
ACT000069,LEAD041762,,ACC02225,USR0115,Call,2022-10-01,Cancelled
ACT000070,LEAD059656,,ACC04573,USR0024,Call,2024-07-25,Cancelled
ACT000071,LEAD040372,OPP16478,ACC04499,USR0134,Email,2023-02-20,Completed
ACT000072,LEAD030021,,ACC04877,USR0024,Demo,2022-04-26,Cancelled
ACT000073,LEAD047343,OPP19379,ACC02705,USR0115,Meeting,2022-11-20,Cancelled
ACT000074,LEAD033916,,ACC03750,USR0134,Follow-up,2023-11-05,Scheduled
ACT000075,LEAD018870,,ACC03782,USR0115,Follow-up,2023-06-04,Cancelled
ACT000076,LEAD043195,,ACC02371,USR0072,Email,2023-11-26,Cancelled
ACT000077,LEAD043450,,ACC00763,USR0039,Demo,2023-06-10,Cancelled
ACT000078,LEAD029357,,ACC02580,USR0039,Meeting,2024-06-17,Scheduled
ACT000079,LEAD034063,,ACC00539,USR0113,Follow-up,2023-12-01,Scheduled
ACT000080,LEAD011302,,ACC02559,USR0115,Email,2023-01-14,Completed
ACT000081,LEAD049000,OPP20044,ACC02138,USR0068,Meeting,2024-02-09,Completed
ACT000082,LEAD018767,OPP07644,ACC01696,USR0024,Follow-up,2023-08-04,Completed
ACT000083,LEAD056081,OPP22901,ACC01957,USR0103,Email,2023-04-07,Completed
ACT000084,LEAD024434,OPP09950,ACC00506,USR0103,Call,2022-06-03,Completed
ACT000085,LEAD039407,OPP16080,ACC01167,USR0134,Call,2022-10-12,Scheduled
ACT000086,LEAD027755,,ACC02868,USR0072,Follow-up,2023-01-28,Completed
ACT000087,LEAD056902,OPP23248,ACC04699,USR0024,Demo,2023-01-08,Completed
ACT000088,LEAD004675,,ACC03098,USR0191,Email,2023-07-20,Cancelled
ACT000089,LEAD040335,,ACC03906,USR0113,Follow-up,2023-03-01,Cancelled
ACT000090,LEAD017824,,ACC01724,USR0191,Email,2024-02-27,Scheduled
ACT000091,LEAD021694,,ACC00328,USR0103,Demo,2023-11-25,Completed
ACT000092,LEAD014544,,ACC02154,USR0191,Call,2023-12-23,Cancelled
ACT000093,LEAD055811,,ACC01809,USR0103,Meeting,2025-04-20,Scheduled
ACT000094,LEAD027526,,ACC03230,USR0072,Demo,2022-12-21,Cancelled
ACT000095,LEAD002327,OPP00972,ACC01294,USR0072,Call,2023-05-27,Completed
ACT000096,LEAD006807,,ACC04843,USR0024,Meeting,2024-01-25,Completed
ACT000097,LEAD055710,,ACC04894,USR0072,Email,2025-03-13,Completed
ACT000098,LEAD046699,,ACC02932,USR0115,Demo,2023-08-08,Completed
ACT000099,LEAD031320,OPP12825,ACC04930,USR0039,Email,2024-03-25,Scheduled
ACT000100,LEAD008677,OPP03502,ACC03728,USR0103,Email,2022-06-29,Completed
ACT000101,LEAD057266,,ACC00591,USR0039,Follow-up,2024-01-12,Completed
ACT000102,LEAD025155,,ACC00763,USR0115,Follow-up,2024-04-26,Completed
ACT000103,LEAD046439,,ACC02889,USR0134,Email,2022-04-29,Completed
ACT000104,LEAD003022,,ACC00603,USR0191,Demo,2024-03-14,Scheduled
ACT000105,LEAD011426,,ACC01928,USR0113,Demo,2023-01-29,Completed
ACT000106,LEAD029092,,ACC04226,USR0103,Demo,2024-07-02,Completed
ACT000107,LEAD002162,,ACC03276,USR0068,Meeting,2023-07-20,Scheduled
ACT000108,LEAD029953,,ACC01231,USR0115,Demo,2022-03-27,Cancelled
ACT000109,LEAD026108,,ACC02564,USR0039,Follow-up,2025-03-24,Cancelled
ACT000110,LEAD022509,,ACC01696,USR0039,Demo,2023-03-09,Completed
ACT000111,LEAD020320,OPP08271,ACC04343,USR0039,Meeting,2023-03-05,Completed
ACT000112,LEAD024090,,ACC04638,USR0072,Follow-up,2022-05-24,Cancelled
ACT000113,LEAD029376,,ACC01889,USR0191,Call,2024-04-07,Cancelled
ACT000114,LEAD000997,OPP00406,ACC01301,USR0115,Call,2024-09-20,Completed
ACT000115,LEAD057793,,ACC03478,USR0068,Demo,2023-05-20,Cancelled
ACT000116,LEAD034551,,ACC00239,USR0134,Follow-up,2024-01-09,Completed
ACT000117,LEAD003182,,ACC00650,USR0072,Follow-up,2024-02-02,Completed
ACT000118,LEAD039729,,ACC01808,USR0068,Email,2023-02-14,Completed
ACT000119,LEAD012473,OPP05074,ACC03279,USR0134,Call,2023-10-12,Cancelled
ACT000120,LEAD017331,,ACC02591,USR0039,Email,2023-02-01,Scheduled
ACT000121,LEAD014384,,ACC04829,USR0103,Follow-up,2024-01-06,Completed
ACT000122,LEAD058808,,ACC00318,USR0072,Follow-up,2025-03-27,Completed
ACT000123,LEAD053280,,ACC03118,USR0072,Call,2023-09-18,Scheduled
ACT000124,LEAD027127,,ACC02416,USR0191,Follow-up,2023-11-10,Cancelled
ACT000125,LEAD056136,OPP22920,ACC02178,USR0115,Meeting,2023-03-26,Scheduled
ACT000126,LEAD007934,OPP03213,ACC02607,USR0134,Meeting,2022-11-02,Completed
ACT000127,LEAD035800,OPP14629,ACC01811,USR0113,Demo,2023-06-18,Completed
ACT000128,LEAD052372,OPP21465,ACC02380,USR0068,Meeting,2023-08-09,Scheduled
ACT000129,LEAD042935,OPP17537,ACC02046,USR0068,Call,2023-11-16,Completed
ACT000130,LEAD039834,,ACC03679,USR0115,Follow-up,2023-01-25,Cancelled
ACT000131,LEAD007602,,ACC00610,USR0134,Call,2022-10-29,Cancelled
ACT000132,LEAD018038,,ACC03106,USR0039,Follow-up,2024-02-14,Scheduled
ACT000133,LEAD030612,OPP12537,ACC01858,USR0113,Meeting,2025-04-04,Completed
ACT000134,LEAD019036,OPP07747,ACC01549,USR0115,Email,2023-07-25,Scheduled
ACT000135,LEAD023444,,ACC01020,USR0191,Email,2024-01-05,Scheduled
ACT000136,LEAD060753,,ACC04266,USR0039,Follow-up,2024-08-29,Cancelled
ACT000137,LEAD054009,,ACC01256,USR0039,Follow-up,2024-07-09,Cancelled
