OpportunityID,LeadID,AccountID,AssignedSalesRepID,Stage,Probability,OpportunityAmount,CreatedDate,ExpectedCloseDate
OPP00001,LEAD000005,ACC01288,USR0134,Qualification,20,18912,2022-09-06,2022-10-26
OPP00002,LEAD000008,ACC00186,USR0113,Needs Analysis,35,88707,2022-08-27,2022-09-24
OPP00003,LEAD000010,ACC04426,USR0072,Qualification,20,58587,2022-09-19,2022-11-27
OPP00004,LEAD000012,ACC02421,USR0024,Qualification,20,27780,2022-09-12,2022-10-24
OPP00005,LEAD000013,ACC04346,USR0024,Proposal,50,203461,2022-09-25,2022-10-13
OPP00006,LEAD000014,ACC01777,USR0024,Qualification,20,194600,2022-09-11,2022-12-04
OPP00007,LEAD000016,ACC04900,USR0113,Needs Analysis,35,156722,2022-09-04,2022-12-03
OPP00008,LEAD000020,ACC01078,USR0072,Closed Won,100,42435,2022-09-14,2022-09-29
OPP00009,LEAD000021,ACC01019,USR0024,Negotiation,75,133351,2022-09-04,2022-11-01
OPP00010,LEAD000022,ACC02829,USR0103,Qualification,20,146530,2022-09-07,2022-11-04
OPP00011,LEAD000026,ACC00230,USR0024,Qualification,20,169981,2022-09-05,2022-10-02
OPP00012,LEAD000027,ACC02841,USR0039,Closed Won,100,212425,2022-09-13,2022-10-31
OPP00013,LEAD000029,ACC00021,USR0024,Negotiation,75,287579,2022-09-05,2022-11-27
OPP00014,LEAD000030,ACC02730,USR0134,Closed Lost,0,229622,2022-09-08,2022-11-10
OPP00015,LEAD000032,ACC03607,USR0024,Proposal,50,29702,2022-09-23,2022-11-23
OPP00016,LEAD000034,ACC03806,USR0103,Negotiation,75,206728,2022-09-22,2022-10-12
OPP00017,LEAD000035,ACC04599,USR0039,Negotiation,75,282408,2022-09-20,2022-10-15
OPP00018,LEAD000036,ACC02256,USR0134,Closed Won,100,11019,2022-09-12,2022-11-14
OPP00019,LEAD000037,ACC00023,USR0072,Proposal,50,144893,2022-09-04,2022-11-04
OPP00020,LEAD000040,ACC03594,USR0024,Needs Analysis,35,271171,2022-09-26,2022-11-06
OPP00021,LEAD000041,ACC00250,USR0115,Negotiation,75,271161,2022-09-03,2022-09-27
OPP00022,LEAD000043,ACC02515,USR0115,Proposal,50,5299,2022-09-28,2022-11-13
OPP00023,LEAD000044,ACC03835,USR0103,Proposal,50,63650,2022-09-14,2022-11-02
OPP00024,LEAD000046,ACC03000,USR0115,Needs Analysis,35,49907,2022-09-21,2022-11-16
OPP00025,LEAD000052,ACC02411,USR0115,Needs Analysis,35,68441,2022-09-18,2022-10-07
OPP00026,LEAD000054,ACC01479,USR0134,Proposal,50,125646,2022-08-31,2022-09-23
OPP00027,LEAD000057,ACC00771,USR0068,Closed Won,100,151002,2022-08-30,2022-11-25
OPP00028,LEAD000059,ACC00030,USR0113,Needs Analysis,35,132400,2022-10-05,2022-12-22
OPP00029,LEAD000061,ACC02585,USR0068,Closed Won,100,190753,2022-09-07,2022-11-19
OPP00030,LEAD000076,ACC03815,USR0115,Needs Analysis,35,34971,2022-08-27,2022-10-12
OPP00031,LEAD000077,ACC04447,USR0024,Proposal,50,268638,2022-09-09,2022-12-07
OPP00032,LEAD000081,ACC00580,USR0039,Closed Won,100,224794,2022-09-04,2022-11-09
